Topic,Primary Keyword,Search Volume,Difficulty,Intent,Action,Page Type,Suggested URL,Priority Score,Why Flagged
Mens Trainers,mens trainers,201800,Easy,transactional,New Content,category_page,/mens-trainers,62.5,"competitor_gap, keyword_research"
Womens Trainers,womens trainers,219890,Easy,transactional,New Content,category_page,/womens-trainers,62.2,"competitor_gap, keyword_research"
Mens Trainers,mens trainers,195200,Easy,transactional,New Content,category_page,/mens-trainers,61.7,"competitor_gap, keyword_research"
Womens Trainers,womens trainers,136500,Easy,transactional,New Content,category_page,/womens-trainers,52.7,"competitor_gap, keyword_research"
Trail Running Shoes,trail running shoes,109100,Easy,transactional,New Content,category_page,/trail-running-shoes,52.4,keyword_research
Hoka Running Shoes,hoka running shoes,85500,Easy,transactional,New Content,category_page,/hoka-running-shoes,49.1,keyword_research
Gym Shoes,gym shoes,76600,Easy,transactional,New Content,category_page,/gym-shoes,48.7,keyword_research
Running Shorts,running shorts,61500,Easy,transactional,New Content,category_page,/running-shorts,47.0,"competitor_gap, keyword_research"
Running Shorts,running shorts,61500,Easy,transactional,New Content,category_page,/running-shorts,47.0,keyword_research
On Trainers,on trainers,50400,Easy,transactional,New Content,category_page,/on-trainers,45.7,keyword_research
Running Trainers Womens,running trainers womens,42810,Easy,transactional,New Content,category_page,/running-trainers-womens,44.0,keyword_research
Hoka Running Shoes,hoka running shoes,38500,Easy,transactional,New Content,category_page,/hoka-running-shoes,43.8,keyword_research
Walking Trainers Womens,walking trainers womens,30600,Easy,transactional,New Content,category_page,/walking-trainers-womens,43.5,keyword_research
Pink Trainers,pink trainers,29600,Easy,transactional,New Content,category_page,/pink-trainers,43.4,keyword_research
On Running Shoes,on running shoes,27000,Easy,transactional,New Content,category_page,/on-running-shoes,43.1,keyword_research
Ladies Trainers,ladies trainers,35980,Easy,transactional,New Content,category_page,/ladies-trainers,43.0,"competitor_gap, keyword_research"
Running Vest,running vest,33100,Easy,transactional,New Content,category_page,/running-vest,43.0,keyword_research
Gym Shoes,gym shoes,21700,Easy,transactional,New Content,category_page,/gym-shoes,42.5,keyword_research
Brooks Running Shoes,brooks running shoes,19210,Easy,transactional,New Content,category_page,/brooks-running-shoes,42.2,keyword_research
Gymshark Leggings,gymshark leggings,18100,Easy,transactional,New Content,category_page,/gymshark-leggings,42.1,keyword_research
Tracksuits For Men,tracksuits for men,18100,Easy,transactional,New Content,category_page,/tracksuits-for-men,42.1,"competitor_gap, keyword_research"
Vans Shoes,vans shoes,22200,Easy,transactional,New Content,category_page,/vans-shoes,42.1,keyword_research
Mens Gym Clothes,mens gym clothes,35600,Easy,transactional,New Content,category_page,/mens-gym-clothes,41.9,keyword_research
Saucony Running Shoes,saucony running shoes,15700,Easy,transactional,New Content,category_page,/saucony-running-shoes,41.8,keyword_research
Gym Leggings,gym leggings,14800,Easy,transactional,New Content,category_page,/gym-leggings,41.7,keyword_research
Tennis Shoes,tennis shoes,14800,Easy,transactional,New Content,category_page,/tennis-shoes,41.7,keyword_research
Saucony Running Shoes,saucony running shoes,14110,Easy,transactional,New Content,category_page,/saucony-running-shoes,41.6,keyword_research
Adidas Socks,adidas socks,12100,Easy,transactional,New Content,category_page,/adidas-socks,41.4,keyword_research
Gym Tops,gym tops,12100,Easy,transactional,New Content,category_page,/gym-tops,41.4,keyword_research
Mens Smart Trainers,mens smart trainers,12100,Easy,transactional,New Content,category_page,/mens-smart-trainers,41.4,keyword_research
Sports Direct Football Boots,sports direct football boots,12100,Easy,transactional,New Content,category_page,/sports-direct-football-boots,41.4,keyword_research
Adidas Track Pants,adidas track pants,9900,Easy,transactional,New Content,category_page,/adidas-track-pants,41.1,keyword_research
Padel Shoes,padel shoes,9900,Easy,transactional,New Content,category_page,/padel-shoes,41.1,keyword_research
Slip On Trainers,slip on trainers,9900,Easy,transactional,New Content,category_page,/slip-on-trainers,41.1,keyword_research
Under Armour Trainers,under armour trainers,9900,Easy,transactional,New Content,category_page,/under-armour-trainers,41.1,keyword_research
Wide Fit Trainers,wide fit trainers,9900,Easy,transactional,New Content,category_page,/wide-fit-trainers,41.0,keyword_research
Adidas Tracksuit Bottoms,adidas tracksuit bottoms,8100,Easy,transactional,New Content,category_page,/adidas-tracksuit-bottoms,40.9,keyword_research
Ladies Trainers,ladies trainers,17100,Easy,transactional,New Content,category_page,/ladies-trainers,40.9,"competitor_gap, keyword_research"
Badminton Shoes,badminton shoes,6600,Easy,transactional,New Content,category_page,/badminton-shoes,40.8,keyword_research
Chunky Trainers,chunky trainers,6600,Easy,transactional,New Content,category_page,/chunky-trainers,40.8,keyword_research
On Cloud Running Shoes,on cloud running shoes,6800,Easy,transactional,New Content,category_page,/on-cloud-running-shoes,40.8,keyword_research
Weightlifting Shoes,weightlifting shoes,8100,Easy,transactional,New Content,category_page,/weightlifting-shoes,40.8,keyword_research
Plus Size Gym Wear,plus size gym wear,6500,Easy,transactional,New Content,category_page,/plus-size-gym-wear,40.7,keyword_research
Plus Size Gym Wear,plus size gym wear,6000,Easy,transactional,New Content,category_page,/plus-size-gym-wear,40.7,keyword_research
Converse Trainers,converse trainers,8100,Easy,transactional,New Content,category_page,/converse-trainers,40.5,keyword_research
Salomon Womens Trainers,salomon womens trainers,4400,Easy,transactional,New Content,category_page,/salomon-womens-trainers,40.5,keyword_research
Modest Gym Wear,modest gym wear,2400,Easy,transactional,New Content,category_page,/modest-gym-wear,40.3,keyword_research
Cycling Shoes,cycling shoes,8100,Easy,transactional,New Content,category_page,/cycling-shoes,39.9,keyword_research
Footjoy Golf Shoes,footjoy golf shoes,14800,Easy,transactional,New Content,category_page,/footjoy-golf-shoes,39.9,keyword_research
Skate Shoes,skate shoes,9900,Easy,transactional,New Content,category_page,/skate-shoes,39.8,keyword_research
